Date & Time,Hostname, % Packet Loss, Round trip time (ms)
2015-09-02 14:52:27,drcvpn,0,185.
2015-09-02 14:55:32,drcvpn,0,186.
2015-09-02 14:59:10,drcvpn,0,186.
2015-09-02 15:01:55,drcvpn,0,186.
2015-09-02 15:02:54,drcvpn,0,187.
2015-09-02 15:10:10,drcvpn,0,189.
2015-09-02 15:20:10,drcvpn,0,185.
2015-09-02 15:30:11,drcvpn,0,187.
2015-09-02 15:40:10,drcvpn,0,185.
2015-09-02 15:50:10,drcvpn,0,188.
2015-09-02 16:00:10,drcvpn,0,185.
2015-09-02 16:10:10,drcvpn,0,185.
2015-09-02 16:20:11,drcvpn,0,188.
2015-09-02 16:30:10,drcvpn,0,185.
2015-09-02 16:40:10,drcvpn,0,188.
2015-09-02 16:50:10,drcvpn,0,187.
2015-09-02 17:00:10,drcvpn,0,187.
2015-09-02 17:10:10,drcvpn,0,187.
2015-09-02 17:20:11,drcvpn,0,186.
2015-09-02 17:30:11,drcvpn,0,186.
2015-09-02 17:50:10,drcvpn,0,189.
2015-09-02 18:00:10,drcvpn,0,187.
2015-09-02 18:20:10,drcvpn,0,186.
2015-09-02 18:40:10,drcvpn,0,185.
2015-09-02 18:50:10,drcvpn,0,187.
2015-09-02 19:00:10,drcvpn,0,186.
2015-09-02 19:10:10,drcvpn,0,184.
2015-09-02 19:20:10,drcvpn,0,188.
2015-09-02 19:30:10,drcvpn,0,187.
2015-09-02 19:40:10,drcvpn,0,190.
2015-09-02 19:50:10,drcvpn,0,186.
2015-09-02 20:00:10,drcvpn,0,188.
2015-09-02 20:10:10,drcvpn,0,188.
2015-09-02 20:30:11,drcvpn,0,186.
2015-09-02 20:40:10,drcvpn,0,186.
2015-09-02 20:50:09,drcvpn,0,186.
2015-09-02 21:00:10,drcvpn,0,186.
2015-09-02 21:10:10,drcvpn,0,185.
2015-09-02 21:20:10,drcvpn,0,186.
2015-09-02 21:30:10,drcvpn,0,197.
2015-09-02 21:40:10,drcvpn,0,192.
2015-09-02 21:50:10,drcvpn,0,187.
2015-09-02 22:00:10,drcvpn,0,186.
2015-09-02 22:10:10,drcvpn,0,186.
2015-09-02 22:20:10,drcvpn,0,188.
2015-09-02 22:40:09,drcvpn,0,195.
2015-09-02 22:50:11,drcvpn,0,187.
2015-09-02 23:00:09,drcvpn,0,186.
2015-09-02 23:10:10,drcvpn,0,185.
2015-09-02 23:20:11,drcvpn,0,185.
2015-09-02 23:30:09,drcvpn,0,186.
2015-09-02 23:40:10,drcvpn,0,186.
2015-09-02 23:50:10,drcvpn,0,187.
2015-09-03 00:00:10,drcvpn,0,186.
2015-09-03 00:10:10,drcvpn,0,186.
2015-09-03 00:20:10,drcvpn,0,187.
2015-09-03 00:30:10,drcvpn,0,186.
2015-09-03 00:40:10,drcvpn,0,189.
2015-09-03 00:50:10,drcvpn,0,189.
2015-09-03 01:00:10,drcvpn,0,184.
2015-09-03 01:10:10,drcvpn,0,185.
2015-09-03 01:20:10,drcvpn,0,186.
2015-09-03 01:30:10,drcvpn,0,186.
2015-09-03 01:40:09,drcvpn,0,187.
2015-09-03 01:50:10,drcvpn,0,188.
2015-09-03 02:00:10,drcvpn,0,187.
2015-09-03 02:10:10,drcvpn,0,191.
2015-09-03 02:20:10,drcvpn,0,187.
2015-09-03 02:50:10,drcvpn,0,187.
2015-09-03 03:00:10,drcvpn,0,186.
2015-09-03 03:10:10,drcvpn,0,186.
2015-09-03 03:20:10,drcvpn,0,187.
2015-09-03 03:40:10,drcvpn,0,188.
2015-09-03 03:50:10,drcvpn,0,184.
2015-09-03 04:00:10,drcvpn,0,185.
2015-09-03 04:10:10,drcvpn,0,187.
2015-09-03 04:20:10,drcvpn,0,187.
2015-09-03 04:30:10,drcvpn,0,185.
2015-09-03 04:40:09,drcvpn,0,187.
2015-09-03 04:50:11,drcvpn,0,381.
2015-09-03 05:00:10,drcvpn,0,247.
2015-09-03 05:10:10,drcvpn,0,218.
2015-09-03 05:20:10,drcvpn,0,187.
2015-09-03 05:30:10,drcvpn,0,186.
2015-09-03 05:40:10,drcvpn,0,184.
2015-09-03 05:50:09,drcvpn,0,187.
2015-09-03 06:00:10,drcvpn,0,184.
2015-09-03 06:10:40,drcvpn,0,
2015-09-03 06:20:10,drcvpn,0,199.
2015-09-03 06:30:10,drcvpn,0,184.
2015-09-03 06:50:09,drcvpn,0,185.
2015-09-03 07:00:10,drcvpn,0,187.
2015-09-03 07:10:10,drcvpn,0,184.
2015-09-03 07:20:10,drcvpn,0,184.
2015-09-03 07:30:10,drcvpn,0,184.
2015-09-03 07:40:10,drcvpn,0,187.
2015-09-03 07:50:10,drcvpn,0,184.
2015-09-03 08:10:10,drcvpn,0,188.
2015-09-03 08:20:10,drcvpn,0,185.
2015-09-03 08:30:10,drcvpn,0,187.
2015-09-03 08:50:10,drcvpn,0,229.
2015-09-03 09:00:09,drcvpn,0,195.
2015-09-03 09:10:11,drcvpn,0,186.
2015-09-03 09:20:11,drcvpn,0,184.
2015-09-03 09:30:10,drcvpn,0,186.
2015-09-03 09:50:10,drcvpn,0,186.
